,,EU Führerschein Klasse B min. 2 Jahre21 Jahre alt Persönliche Zuverlässigkeit nachweisen (ärztliche Untersuchung/Punkteregister/Strafregister),,,,,,
,,,,5 Jahre.Verlängerung muss 3 Monate vor Ablauf beantragt werden,,,,
,,,,,Nein. (wurde seit 14/08/2017 abgeschafft),,,
,,,,Das Personenbeförderungsrecht regelt die entgeltliche bzw. gewerbliche Personenbeförderung in Kraftfahrzeugen Straßenbahnen Oberleitungsbussen. Geltungsbereich: bundesweit,,,,
,,SchülertransporteBehindertentransporteKindergartenfahrten,,,,,,
,,,,,Wenn das Gesamtgeld die Betriebskosten der Fahrt nicht übersteigt. Mit Krankenkraftwagen wem damit verletzte oder sonstige hilfsbedürftige Personen befördert werden die während der Fahrt fachlicher Betreuung bedürfen,,,
,,,,,,,Unterscheidung der Beförderungsarten (Linien-Gelegenheitsverkehr)Unterscheidung der Verkehrsmittel Antrags- & Genehmigungsverfahren Einwirkungsmöglichkeiten der Genehmigungsbehörde Rechte und Pflichten des Unternehmers,
,,,,Verkehr mit Mietwagen ist die Beförderung von Personen mit Personenkraftwagen die im Ganzen gemietet werden.Der Fahrgast bestimmt Zweck Ziel und Ablauf der Fahrt. Aufträge müssen am Betriebssitz eingehen. Mietwagen hat Rückkehrpflicht und Aufzeichnungspflicht (Wegstreckenzähler),,,,
,,,Verkehr mit Taxen ist die Beförderung von Personen mit PKW die der Unternehmer an behördlich zugelassenen Stellen bereithält und mit denen er Fahrten zu einem vom Fahrgast bestimmten Ziel ausführt.Der Unternehmer kann Beförderungsaufträge auch während einer Fahrt oder am Betriebssitz entgegennehmen,,,,,
,,Beförderung von Personen mit Straßenbahn Oberleitungsbussen und Kfz im Linienverkehr um die Verkehrsnachfrage im Stadt- der Regionalverkehr zu befriedigen.Taxen sind öffentliche Verkehrsmittel weil sie die o.g. Verkehrsarten ersetzen oder ergänzen.,,,,,,
,,,,,Dein entgeltliche und geschäftsmäßige Beförderung von Personen in Fahrzeugen die nicht im Linienverkehr fahren wo der Fahrgast Anfangs- und Endpunkt sowie Zwischenhaltestellen selbst bestimmt z.B. Taxen Mietwagen Ausflugsfahrten & Mietomnibussen,,,
,,,,Der Linienverkehr hat bestimmte Anfangs- und Endpunkte wo der Fahrgast an festgelegten Haltestellen ein- und aussteigen kann. Bsp.: BVG,,,,
,,,,,,Nein,,
,,,Ja aber nur in Gemeinden bis zu 50.000 Einwohnern und sofern die Behörde keine Einwände hat. (Mischkonzession),,,,,
,,,,,Straßenfahrzeuge die durch eigene Maschinenkraft bewegt werden ohne an Schienen oder Fahrleitung gebunden zu sein,,,
,,,,Pkw sind Kfz die nach ihrer Bauart und Ausstattung zur Beförderung von nicht mehr als 9 Personen (inkl. Fahrzeugführer) geeignet und bestimmt sind.,,,,
,,,,,,,persönlich zuverlässig seinfinanziell leistungsfähig seinfachlich geeignet seinein Betriebssitz im Inland haben,
,,,,polizeiliches Führungszeugnis Unbedenklichkeitsbescheinigung vom Finanzamt Krankenkasse und Berufsgenossenschaft Zeugnis Fachkundeprüfung,,,,
,,,Durch eine Vermögensübersicht vom Steuerberater oder Hausbank.Für das erste Fahrzeug müssen 2.250€ und für jedes weitere Fahrzeug 1.250€ nachgewiesen werden. (Kontoauszug),,,,,
,,Rechtsgültige Verurteilungen und schwere Verstöße gegen das PBefGdas Arbeitsrecht SozialversicherungsvorschriftenStVZO StVO,,,,,,
