,Renten-. 19.9%,,Kranken-. allgem. Satz 14.9% (Kinderlöse -2.2%),Arbeitslosen-. 3%,,Pflege-. 1.95%,Unfallversicherung,Die Unfallversicherung zahlt zu 100 % der Arbeitgeber. alle anderen Versicherungen trägt zur Hälfte der Arbeitgeber und zur Hälfte der AN,
,Aus den Beiträgen für Krankenversicherung (inkl. Pflegeversicherung). Rentenversicherung und Arbeitslosenversicherung. ,,,,,,,
,Der Arbeitgeber.,,,,,,,,
,,Rentenversicherung - die Landes- (LVA). die Bundesversicherungsanstalt für Angestellte.,Arbeitslosenversicherung - die Bundesanstalt für Arbeit.,Unfallversicherung - die Berufsgenossenschaft (BGF).,Krankenversicherung - jeweilige Krankenkasse.,Pflegeversicherung - jeweilige Krankenkasse.,,
,Berufsgenossenschaft für Fahrzeughaltungen (Sitz in Hamburg).,,,,,,,
,,,Die Aufgaben der Berufsgenossenschaft sind Unfallverhütung und Unfallversicherun,,,,,
,,,,,,Der Berufsgenossenschaftsbeitrag richtet sich nach der Bruttolohnsumme und der jeweiligen Gefahrenklasse,,
,,,,,,,100 %.,
,(x) Todesfall,,,x) mehrere Verletzte,,,,
,,Jeder Arbeitsunfall muss innerhalb von 3 Tagen bei der Berufsgenossenschaft für Fahrzeughaltungen (BGF) gemeldet werden.,,,,Eine Pflicht zur telefonischen Anzeige besteht dann. wenn es sich um einen Unfall mit Todesfolge oder um mehr als 2 Verletzten handelt.,Eine Ausfertigung der Anzeige ist an das Gewerbeaufsichtsamt zu send,
,Unternehmer muss den Unfall binnen 3 Tagen bei der Berufsgenossenschaft für Fahrzeughaltungen anzeigen. • Unternehmer muss eine Kopie dieser Unfallanzeige dem Amt für Arbeitsschutz übersenden,,,Unfall. bei dem ein Mensch getötet oder schwer verletzt worden ist. ist der Genehmigungsbehörde unverzüglich mitzuteilen,Kfz-Versicherung sollte von dem Unfall informiert werden,,,,
,Berufsgenossenschaft,,,,Gewerbeaufsichtsamt,,Ortspolizeibehörde des Unfallortes,
,,,Die zuständige Berufsgenossenschaft.,,,,,
,,,,x) Arbeitgeber.,,,,
,,,,,,,Der Unternehmer ist aufgrund der UnternehmerpfIichtversicherung auch in der gesetzlichen Unfallversicherung versichert.,
,x) Den Arbeitgeber,,,,,,,,
,,,,,,Nein. ist keine Pflicht. Beschäftigt man Personal. ist sie empfehlenswert,,
,,Der Unternehmer aus dem Beförderungsvertrag.,,,,,,
,,,,Die Kfz-Haftpflichtversicherung,die Fahrzeugversicherung.,die Kfz Unfallversicherung und, die Gepäckversicherung.,
,Der Versicherungsschutz beginnt mit der Einlösung des Versicherungsscheines durch Zahlung des Beitrages und der Versicherungssteuer.,,,,,,,,
,Die Teilkaskoversicherung deckt Schäden am eigenen Kfz ab. wenn diese durch Diebstahl. Brand. Glas- und Wildschaden. Entwendung sowie durch unmittelbare Einwirkung von Naturereignissen entstanden sind,,,,,,,
,,,,,,,Eine Vollkaskoversicherung deckt neben den Schaden der Teilkaskoversicherung auch solche Schaden ab. die durch eigene Unfallverursachung entstanden wurde,
,,,Nein. in den meisten Fällen muss der Versicherungsnehmer den ihm entstanden Schaden bis zu einer bestimmten Summe. die zuvor mit der Versicherung vereinbart wurde. selbst tragen (Selbstbeteiligung).,,,,,
,,,,,,Der Halter,,
,Unfallversicherung bei der Berufsgenossenschaft,Kfz-Haftpflichtversicherung,,,,,,,
,,,,Für Betriebsunfälle entschädigt allein die Berufsgenossenschaft. Der AG ist von seiner Haftung befreit. ausgenommen die Lohnfortzahlung bis zu 6 Wochen. Für Sachschäden haftet die Berufsgenossenschaft nicht. Die Haftungsbefreiung entfällt bei vorsätzlicher Schädigung und bei der Teilnahme am allgemeinen Verkehr.,,,,
,,,,,Arbeitskollegen sind untereinander im gleichen Umfange von der Haftung befreit wie der Unternehmer.,,,
,,Für Personen-. Sach- und Vermögensschäden. die beim Betrieb des Kfz bei Dritten entstanden sind.,,,,,,
,,,,,Ja. die jeweilige Schadenshöchstgrenze hängt von dem abgeschlossenen Versicherungsvertrag ab.,,,
,,,,Nach der im Versicherungsvertrag festgelegten Haftpflichtdeckungssumme.,,,,
,2.5 Mio. € bei Pkw bis zu 9 Plätzen für Personenschäden. Sind 3 oder mehr Personen betroffen. beträgt sie 7.5 Mio€,500.000 € für Sachschäden und,50.000 €. für Vermögensschäden.,,,,,,
,,,,,,,Ja. dies ist grundsätzlich möglich und zur Minderung des Schadensrisikos unbedingt zu empfehlen.,
,,,Nein. ein Ausschluss von der Haftung von Personenschäden ist grundsätzlich unzulässig und nichtig; lediglich die Haftung für Sachschäden darf gegenüber jeder beförderten Person auf 1.000 € begrenzt werden.,,,,,
,,,,,Der Schadensfall muss der Versicherung schriftlich umgehend angezeigt werden. Der Versicherungsnehmer ist verpflichtet. alles Erforderliche zur Aufklärung und Schadensminderung zu tun.,,,
,,Davon ist ohne vorherige Rücksprache mit der Versicherung dringend abzuraten. weil die Gefahr besteht. dass die Versicherung Regress nimmt,,,,,,
,,,Ausgleich der Folgen der Körperverletzung,,Ersatz der Beschädigung des Gepäckes.,,,
,,,,,,Haftungsausschlüsse für Sachschäden sind nur unter bestimmten Voraussetzungen zulässig.,,
